cluster,Latitude,Longitude
0,51.26792999999999,5.085668571428571
1,51.25877666666666,4.521553333333333
2,51.101222,4.891818
3,51.30875666666667,4.403576666666667
4,51.302183333333325,4.501414166666667
5,51.21139,4.337944285714285
6,51.238142,4.589383
7,51.183505,5.177091666666667
8,51.35319125,4.538875
9,51.08831,4.230363333333334
10,51.138447142857146,4.862284285714286
11,51.10506125,4.331081666666667
12,51.364418,4.461043999999999
13,51.136757777777774,5.068124444444445
14,51.116167142857144,4.658422857142857
15,51.0857,4.716091666666666
16,51.35780200000001,4.759434
17,51.16469333333333,4.89144
18,51.07854857142858,4.423788571428571
19,51.16451,4.83331
20,51.201262,4.641032
21,51.34946000000001,4.645668571428572
22,50.778743750000004,5.46106625
23,51.06890285714286,5.20958
24,50.808138,5.34102
25,51.03253142857143,5.380002857142857
26,50.623738333333336,4.809215000000001
27,50.59520333333333,3.6171450000000003
28,50.459559999999996,4.334186666666667
29,50.425764,4.494407
30,50.440540000000006,4.4041820000000005
31,50.535948,4.251158
32,50.717012499999996,3.8466575
33,50.568625,3.4427516666666667
34,50.30666599999999,4.128348
35,50.61006333333333,4.140675
36,50.398446666666665,3.8757466666666667
37,50.497494999999994,4.291445
38,50.47781071428572,4.209506428571428
39,50.709307,5.648258
40,50.64376142857143,5.665219285714286
41,50.60099666666667,5.399796666666667
42,50.46678,6.11493
43,50.620995,5.744815
44,50.66715615384616,5.596911538461539
45,50.49872,5.4243428571428565
46,50.512288,5.921122
47,50.536455,5.210675
48,50.6227875,5.45581
49,50.393784,5.931076
50,50.884322000000004,5.672332
51,50.967054,5.46265
52,50.96653333333333,5.678843333333333
53,51.23830857142857,5.3433785714285715
54,50.990312857142854,5.545278571428571
55,50.894794000000005,5.633808
56,51.092888,5.14426
57,50.291984,5.094168000000001
58,49.58872,5.82146
59,49.63009333333334,5.799646666666667
60,50.41546666666667,4.906396666666667
61,50.90792252685714,4.3201094537571425
62,50.966328999999995,4.625691571428571
63,50.871263,4.094909142857143
64,50.74055775,4.33173175
65,50.78878657142857,4.278389571428572
66,50.91647471428571,4.510099285714285
67,50.88597516666667,4.546250666666666
68,51.058113,3.2727967999999996
69,51.23702533333333,2.946729166666666
70,50.88968633333334,3.8993574444444445
71,51.012179333333336,4.122714833333333
72,51.01546375,4.004211625
73,51.01432214285715,4.2011777142857145
74,51.09388644444445,4.143019333333333
75,50.9877045,3.6535938333333333
76,51.12881328571429,4.220220428571428
77,51.14222014285714,3.410959857142857
78,51.11119299999999,3.9984288333333335
79,50.81259383333333,3.752217
80,51.13414433333333,3.675527666666667
81,50.959295600000004,4.0696737999999995
